Cell_type,Cell_chemistry,Form_factor,Approximate Recording Frequency,Test_id,SOC,Temperature,Cell_id,Lot,Comment
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000001,50,24,C00001,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000001,50,24,C00002,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000001,50,24,C00003,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000001,50,24,C00004,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000001,50,24,C00005,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000001,50,24,C00006,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000002,100,24,C00007,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000002,100,24,C00008,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000002,100,24,C00009,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000002,100,24,C00010,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000002,100,24,C00011,L001,
Panasonic NCR18650GA,NCA,18650,bi-annual,T0000002,100,24,C00012,L001,"Week 10 data deleted, potentially swapped with soc=100, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000003,50,60,C00013,L001,"Week 10 data deleted, potentially swapped with soc=100, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000003,50,60,C00014,L001,"Week 10 data deleted, potentially swapped with soc=100, Temp=60, 2nd high rate RPT on diagnostic#37 has anomalies "
Panasonic NCR18650GA,NCA,18650,weekly,T0000003,50,60,C00015,L001,"Week 10 data deleted, potentially swapped with soc=100, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000003,50,60,C00016,L001,"Week 10 data deleted, potentially swapped with soc=100, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000003,50,60,C00017,L001,"Week 10 data deleted, potentially swapped with soc=100, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000003,50,60,C00018,L001,"Week 10 data deleted, potentially swapped with soc=100, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000004,100,60,C00019,L001,"Week 10 data deleted, potentially swapped with soc=50, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000004,100,60,C00020,L001,"Week 10 data deleted, potentially swapped with soc=50, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000004,100,60,C00021,L001,"Week 10 data deleted, potentially swapped with soc=50, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000004,100,60,C00022,L001,"Week 10 data deleted, potentially swapped with soc=50, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000004,100,60,C00023,L001,"Week 10 data deleted, potentially swapped with soc=50, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000004,100,60,C00024,L001,"Week 10 data deleted, potentially swapped with soc=50, Temp=60"
Panasonic NCR18650GA,NCA,18650,weekly,T0000005,50,85,C00025,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000005,50,85,C00026,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000005,50,85,C00027,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000005,50,85,C00028,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000005,50,85,C00029,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000005,50,85,C00030,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000006,100,85,C00031,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000006,100,85,C00032,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000006,100,85,C00033,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000006,100,85,C00034,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000006,100,85,C00035,L001,
Panasonic NCR18650GA,NCA,18650,weekly,T0000006,100,85,C00036,L001,
Panasonic NCR18650B,NCA,18650,monthly,T0000007,50,24,C00037,L002,
Panasonic NCR18650B,NCA,18650,monthly,T0000007,50,24,C00038,L002,
Panasonic NCR18650B,NCA,18650,monthly,T0000007,50,24,C00039,L002,
Panasonic NCR18650B,NCA,18650,monthly,T0000007,50,24,C00040,L002,
Panasonic NCR18650B,NCA,18650,monthly,T0000007,50,24,C00041,L002,
Panasonic NCR18650B,NCA,18650,monthly,T0000008,100,24,C00042,L002,M11 data deleted. Erroneous
Panasonic NCR18650B,NCA,18650,monthly,T0000008,100,24,C00043,L002,
Panasonic NCR18650B,NCA,18650,monthly,T0000008,100,24,C00044,L002,
Panasonic NCR18650B,NCA,18650,monthly,T0000008,100,24,C00045,L002,
Panasonic NCR18650B,NCA,18650,monthly,T0000008,100,24,C00046,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000009,50,45,C00047,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000009,50,45,C00048,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000009,50,45,C00049,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000010,100,45,C00050,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000010,100,45,C00051,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000010,100,45,C00052,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000011,50,60,C00053,L002,W89 erroneous data deleted
Panasonic NCR18650B,NCA,18650,weekly,T0000011,50,60,C00054,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000011,50,60,C00055,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000012,100,60,C00056,L002,W16 erroneous data deleted
Panasonic NCR18650B,NCA,18650,weekly,T0000012,100,60,C00057,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000012,100,60,C00058,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000013,50,85,C00059,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000013,50,85,C00060,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000013,50,85,C00061,L002,
Panasonic NCR18650B,NCA,18650,weekly,T0000014,100,85,C00062,L002,only 1 data point
Panasonic NCR18650B,NCA,18650,weekly,T0000014,100,85,C00063,L002,only 1 data point
Panasonic NCR18650B,NCA,18650,weekly,T0000014,100,85,C00064,L002,only 1 data point
Ultralife UBP001,LCO,prismatic,monthly,T0000015,100,24,C00065,L003,
Ultralife UBP001,LCO,prismatic,monthly,T0000015,100,24,C00066,L003,
Ultralife UBP001,LCO,prismatic,monthly,T0000015,100,24,C00067,L003,
Ultralife UBP001,LCO,prismatic,monthly,T0000015,100,24,C00068,L003,
Ultralife UBP001,LCO,prismatic,monthly,T0000015,100,24,C00069,L003,
Ultralife UBP001,LCO,prismatic,monthly,T0000015,100,24,C00070,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000016,100,60,C00071,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000016,100,60,C00072,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000016,100,60,C00073,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000016,100,60,C00074,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000016,100,60,C00075,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000016,100,60,C00076,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000017,100,85,C00077,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000017,100,85,C00078,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000017,100,85,C00079,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000017,100,85,C00080,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000017,100,85,C00081,L003,
Ultralife UBP001,LCO,prismatic,weekly,T0000017,100,85,C00082,L003,
Ultralife 502030,LCO,pouch,monthly,T0000018,50,24,C00083,L004,has only 1 week data
Ultralife 502030,LCO,pouch,monthly,T0000018,50,24,C00084,L004,M37 erroneous data deleted
Ultralife 502030,LCO,pouch,monthly,T0000018,50,24,C00085,L004,M37 erroneous data deleted
Ultralife 502030,LCO,pouch,monthly,T0000018,50,24,C00086,L004,M37 erroneous data deleted
Ultralife 502030,LCO,pouch,monthly,T0000018,50,24,C00087,L004,M37 erroneous data deleted
Ultralife 502030,LCO,pouch,half yearly,T0000019,50,24,C00088,L004,
Ultralife 502030,LCO,pouch,half yearly,T0000019,50,24,C00089,L004,
Ultralife 502030,LCO,pouch,half yearly,T0000019,50,24,C00090,L004,
Ultralife 502030,LCO,pouch,half yearly,T0000019,50,24,C00091,L004,
Ultralife 502030,LCO,pouch,half yearly,T0000019,50,24,C00092,L004,
Ultralife 502030,LCO,pouch,half yearly,T0000020,50,24,C00093,L004,Data is for double bagged.
